selling_price,year,km_driven,mileage,engine,max_power,age,Diesel,Electric,LPG,Petrol,Manual,5seats,>5seats
20.9025,2019,40000,10.91,3198,197,3,1,0,0,0,0,0,1
7.4,2015,100000,20.77,1248,88.8,7,1,0,0,0,1,0,1
5.3,2017,60000,20.89,1197,81.8,5,0,0,0,1,1,1,0
20.9025,2016,32143,15.97,2993,258,6,1,0,0,0,0,1,0
6.5,2016,56400,19.87,1461,83.8,6,1,0,0,0,1,1,0
4.65,2016,68000,19.3,1248,73.9,6,1,0,0,0,1,1,0
7.8,2019,10000,17.4,1197,81.86,3,0,0,0,1,0,1,0
4.95,2014,225000,22.32,1582,126.32,8,1,0,0,0,1,1,0
20.9025,2016,36799,18.56,1995,187.7,6,1,0,0,0,0,1,0
3.5,2007,80000,13.93,2179,138,15,1,0,0,0,1,0,1
2.5,2011,120000,23.03,1396,69,11,1,0,0,0,1,1,0
4.25,2016,66000,20.5,1248,91.72,6,1,0,0,0,1,1,0
1.8,2010,110000,15.37,1196,73,12,0,0,0,1,1,0,1
2.85,2012,70000,19,1086,68.1,10,0,0,1,0,1,1,0
6.15,2015,33000,16.47,1198,73.9,7,0,0,0,1,1,1,0
4.25,2017,57000,23.01,999,67,5,0,0,0,1,1,1,0
3.75,2014,43000,23.1,998,67.04,8,0,0,0,1,1,1,0
5.9,2016,57000,17.19,1197,81.86,6,0,0,0,1,1,1,0
4.8,2016,110000,24,1120,70,6,1,0,0,0,1,1,0
13.85,2010,147500,13.5,2987,282,12,1,0,0,0,0,1,0
5.3,2013,70000,22.9,1248,74,9,1,0,0,0,1,1,0
10,2019,2700,14.4,1598,103.6,3,0,0,0,1,0,1,0
10.08,2020,8600,24.3,1248,88.5,2,1,0,0,0,1,1,0
8.95,2017,36000,24.3,1248,88.5,5,1,0,0,0,1,1,0
2.69,2017,21918,22.7,799,53.64,5,0,0,0,1,1,1,0
20.9025,2017,91346,15.04,2755,174.5,5,1,0,0,0,0,0,1
14,2017,36000,16,1997,140,5,1,0,0,0,0,0,1
12,2018,35000,16.36,2179,120,4,1,0,0,0,1,0,1
3.4,2009,124000,17.8,1248,75,13,1,0,0,0,1,1,0
4.95,2014,63063,20.5,1598,103.5,8,1,0,0,0,1,1,0
20.9025,2019,9000,22.48,1995,187.74,3,1,0,0,0,0,1,0
2.5,2018,50000,25.17,799,53.3,4,0,0,0,1,1,1,0
6.85,2011,81000,17.72,1968,108.49,11,1,0,0,0,1,1,0
2.75,2012,16000,19.81,1086,68.05,10,0,0,0,1,1,1,0
4.7,2017,120000,22.95,1248,74,5,1,0,0,0,1,1,0
3.81,2017,20700,33.44,796,40.3,5,0,0,0,0,1,0,0
9.5,2019,70000,25.1,1248,88.5,3,1,0,0,0,1,1,0
3.6,2016,56000,33.54,998,67.04,6,0,0,0,0,1,1,0
7.7,2011,74000,15.1,2179,140,11,1,0,0,0,1,0,1
9.95,2019,20000,17,1591,121.3,3,0,0,0,1,1,1,0
3,2012,83000,23.2,1248,73.94,10,1,0,0,0,1,1,0
1.3,2006,80000,16.6,1388,68,16,0,0,0,1,1,1,0
4.95,2015,30000,18.9,1197,82,7,0,0,0,1,1,1,0
7.25,2019,20214,21.01,1197,81.8,3,0,0,0,1,1,1,0
12,2013,17650,13.44,2359,198.25,9,0,0,0,1,1,1,0
3.65,2014,100000,23.4,1248,74,8,1,0,0,0,1,1,0
6,2017,95000,17.03,1373,91.1,5,0,0,0,1,0,0,1
20.9025,2017,23000,20.68,1995,188,5,1,0,0,0,0,1,0
4.45,2014,88000,17.21,1493,100,8,1,0,0,0,1,0,1
4.25,2013,34294,25.8,1498,98.6,9,1,0,0,0,1,1,0
8.5,2016,27275,17.4,1497,117.6,6,0,0,0,1,1,1,0
18.35,2017,87000,13.68,2393,147.51,5,1,0,0,0,1,0,1
5.25,2014,56000,19.64,1461,108.45,8,1,0,0,0,1,1,0
1.75,2010,25000,18.9,998,67.1,12,0,0,0,1,1,1,0
20.9025,2015,50000,16.36,2179,187.7,7,1,0,0,0,0,1,0
5.25,2018,6500,30.48,1086,58,4,0,0,0,0,1,1,0
3.4,2017,30000,23.01,999,67,5,0,0,0,1,1,1,0
2.9,2012,58000,21.64,1461,84.8,10,1,0,0,0,1,1,0
4.4,2012,85000,17,1896,105,10,1,0,0,0,0,1,0
4.5,2015,35000,23.1,998,67.04,7,0,0,0,1,0,1,0
8.5,2017,15000,18.49,1493,100,5,1,0,0,0,1,0,1
11.99,2015,117000,12.99,2494,100.6,7,1,0,0,0,1,0,1
2.3,2013,60000,19.81,1086,68.05,9,0,0,0,1,1,1,0
5.35,2016,19000,18.9,1197,82,6,0,0,0,1,1,1,0
6,2014,90000,12.05,2179,120,8,1,0,0,0,1,0,1
3,2009,30000,20.36,1197,78.9,13,0,0,0,1,1,1,0
5.5,2016,21866,17,1198,73.75,6,0,0,0,1,1,1,0
4.6,2017,39871,23.84,1199,84,5,0,0,0,1,1,1,0
